date,temp_min,temp_max,precipitation,humidity_min,humidity_max
2025-04-27,11.1,15.4,0.0,37.0,63.0
2025-04-28,5.1,17.6,0.0,31.0,91.0
2025-04-29,4.8,19.0,0.0,22.0,84.0
2025-04-30,7.5,23.9,0.0,26.0,75.0
2025-05-01,11.1,25.2,2.2,31.0,77.0
2025-05-02,14.1,22.9,0.0,24.0,61.0
2025-05-03,10.7,27.4,0.0,23.0,71.0
2025-05-04,13.8,29.5,0.0,23.0,75.0
2025-05-05,15.6,29.5,1.1,25.0,73.0
2025-05-06,13.4,26.1,1.9,41.0,93.0
2025-05-07,14.0,23.1,2.1,46.0,98.0
2025-05-08,12.4,18.9,0.9,60.0,93.0
2025-05-09,11.3,20.0,2.7,48.0,98.0
2025-05-10,8.8,12.7,0.5,65.0,86.0
2025-05-11,7.3,18.7,0.1,44.0,91.0
2025-05-12,6.1,14.3,0.2,51.0,94.0
2025-05-13,7.1,15.6,0.8,45.0,89.0
2025-05-14,7.8,18.5,0.3,39.0,91.0
2025-05-15,8.1,22.8,0.0,31.0,82.0
2025-05-16,11.4,17.9,7.9,51.0,98.0
2025-05-17,9.6,15.6,7.6,60.0,99.0
2025-05-18,7.7,19.9,0.0,39.0,88.0
2025-05-19,10.5,21.8,0.3,41.0,85.0
2025-05-20,8.4,21.1,0.0,32.0,82.0
2025-05-21,10.8,23.8,0.0,34.0,74.0
2025-05-22,13.2,27.1,0.9,34.0,92.0
2025-05-23,14.2,27.1,0.4,39.0,100.0
2025-05-24,14.0,22.5,22.4,50.0,98.0
2025-05-25,12.0,16.2,26.1,73.0,98.0
2025-05-26,11.6,14.1,26.5,88.0,97.0
2025-05-27,12.1,19.4,6.8,49.0,95.0
2025-05-28,12.8,21.3,1.5,45.0,91.0
2025-05-29,13.9,22.9,1.9,48.0,91.0
2025-05-30,14.9,20.0,1.9,59.0,91.0
2025-05-31,13.4,23.9,2.2,36.0,94.0
2025-06-01,14.1,26.2,0.0,37.0,89.0
2025-06-02,16.6,28.2,0.0,39.0,82.0
2025-06-03,17.5,29.8,0.3,44.0,85.0
2025-06-04,18.7,29.2,0.0,50.0,92.0
