date,temp_min,temp_max,precipitation,humidity_min,humidity_max
2025-04-28,4.3,18.4,0.0,44.0,100.0
2025-04-29,6.2,20.2,0.0,39.0,92.0
2025-04-30,7.8,21.4,0.0,39.0,86.0
2025-05-01,9.8,22.0,0.0,35.0,86.0
2025-05-02,9.6,21.9,0.0,39.0,86.0
2025-05-03,7.6,24.9,0.0,34.0,98.0
2025-05-04,11.1,26.2,0.3,28.0,83.0
2025-05-05,11.8,22.3,5.5,53.0,97.0
2025-05-06,12.8,19.6,11.8,66.0,100.0
2025-05-07,10.3,15.6,7.5,67.0,99.0
2025-05-08,9.0,16.5,8.7,63.0,97.0
2025-05-09,6.0,12.6,1.2,55.0,96.0
2025-05-10,3.5,15.1,0.0,43.0,91.0
2025-05-11,5.1,11.6,1.4,62.0,90.0
2025-05-12,2.7,13.1,0.7,43.0,99.0
2025-05-13,2.2,13.8,0.2,41.0,93.0
2025-05-14,3.5,15.3,0.0,41.0,87.0
2025-05-15,5.9,19.8,2.3,37.0,98.0
2025-05-16,5.8,11.6,13.2,59.0,99.0
2025-05-17,6.3,13.5,4.4,57.0,95.0
2025-05-18,4.4,17.1,3.9,45.0,98.0
2025-05-19,6.1,12.8,8.9,61.0,100.0
2025-05-20,4.2,15.9,0.0,52.0,92.0
2025-05-21,5.9,19.9,0.0,47.0,95.0
2025-05-22,10.6,19.7,10.0,69.0,94.0
2025-05-23,9.5,20.2,8.5,68.0,98.0
2025-05-24,10.2,15.1,3.7,67.0,100.0
2025-05-25,8.8,13.9,3.4,72.0,92.0
2025-05-26,9.0,17.0,0.4,51.0,92.0
2025-05-28,12.9,18.8,0.2,43.0,83.0
2025-05-29,11.6,16.9,5.9,66.0,86.0
2025-05-30,10.8,19.6,0.0,41.0,84.0
2025-05-31,11.8,23.8,0.0,41.0,77.0
2025-06-01,11.1,25.9,0.3,43.0,94.0
2025-06-02,10.6,27.9,0.3,38.0,100.0
2025-06-03,13.9,25.2,5.4,62.0,95.0
2025-06-04,13.8,27.5,0.0,54.0,100.0
