date,temp_min,temp_max,precipitation,humidity_min,humidity_max
2025-04-28,3.6,13.9,0.0,44.0,89.0
2025-04-29,3.4,13.3,0.0,47.0,86.0
2025-04-30,0.7,17.1,0.0,37.0,98.0
2025-05-01,5.3,20.7,0.0,40.0,72.0
2025-05-02,9.0,17.7,0.0,39.0,74.0
2025-05-03,6.4,19.6,0.0,37.0,75.0
2025-05-04,9.7,20.5,0.0,47.0,73.0
2025-05-05,10.8,22.7,0.0,59.0,78.0
2025-05-06,12.6,20.7,0.5,64.0,90.0
2025-05-07,12.2,23.5,12.9,50.0,96.0
2025-05-08,12.6,16.3,0.6,73.0,95.0
2025-05-09,11.7,18.5,2.6,60.0,99.0
2025-05-10,8.6,13.0,0.4,56.0,85.0
2025-05-11,8.4,17.4,1.3,51.0,94.0
2025-05-12,7.5,13.7,5.8,59.0,97.0
2025-05-13,6.9,14.9,3.1,54.0,91.0
2025-05-14,6.5,18.1,0.1,43.0,91.0
2025-05-15,9.3,21.1,0.0,38.0,78.0
2025-05-16,12.0,16.1,2.4,64.0,92.0
2025-05-17,10.9,16.3,9.7,60.0,95.0
2025-05-18,7.8,19.7,0.2,48.0,94.0
2025-05-19,11.7,21.9,1.5,45.0,76.0
2025-05-20,9.8,19.3,0.1,39.0,89.0
2025-05-21,9.0,20.4,0.0,50.0,91.0
2025-05-22,13.6,23.5,2.4,59.0,90.0
2025-05-23,13.1,21.5,0.5,62.0,98.0
2025-05-24,13.0,24.8,0.6,59.0,100.0
2025-05-25,13.8,21.3,8.3,64.0,95.0
2025-05-26,13.3,17.7,5.7,77.0,99.0
2025-05-28,13.1,19.0,2.5,62.0,92.0
2025-05-29,13.6,21.6,0.0,47.0,88.0
2025-05-30,15.5,21.1,0.5,57.0,90.0
2025-05-31,13.7,22.0,0.0,43.0,88.0
2025-06-01,15.1,23.0,0.0,53.0,91.0
2025-06-02,12.8,23.8,0.0,49.0,91.0
2025-06-03,13.2,25.4,0.0,48.0,89.0
2025-06-04,17.3,22.6,4.2,72.0,97.0
