date,temp_min,temp_max,precipitation,humidity_min,humidity_max
2025-04-28,8.2,20.5,0.0,47.0,94.0
2025-04-29,8.2,21.6,0.0,41.0,90.0
2025-04-30,9.0,22.9,0.0,37.0,88.0
2025-05-01,10.0,24.7,0.0,34.0,85.0
2025-05-02,10.0,24.8,0.0,33.0,82.0
2025-05-03,12.2,28.4,0.0,27.0,76.0
2025-05-04,15.5,25.9,0.0,36.0,67.0
2025-05-05,14.2,23.7,5.6,50.0,94.0
2025-05-06,13.9,20.8,14.4,67.0,99.0
2025-05-07,12.2,16.2,5.0,69.0,98.0
2025-05-08,10.4,15.8,3.8,72.0,93.0
2025-05-09,7.2,16.2,0.0,42.0,93.0
2025-05-10,5.3,18.6,0.0,31.0,86.0
2025-05-11,6.0,18.1,0.1,41.0,84.0
2025-05-12,5.1,16.6,0.0,36.0,85.0
2025-05-13,4.3,16.6,0.0,35.0,88.0
2025-05-14,4.4,19.0,0.0,30.0,88.0
2025-05-15,8.7,23.5,0.7,28.0,86.0
2025-05-16,6.6,14.6,1.1,41.0,93.0
2025-05-17,7.6,16.8,2.6,50.0,96.0
2025-05-18,7.8,19.0,2.8,51.0,91.0
2025-05-19,10.6,18.3,3.0,55.0,93.0
2025-05-20,8.7,19.5,0.5,54.0,94.0
2025-05-21,11.5,21.9,2.1,58.0,92.0
2025-05-22,13.4,21.7,5.5,63.0,96.0
2025-05-23,14.5,21.3,13.3,72.0,94.0
2025-05-24,9.9,15.3,0.9,61.0,95.0
2025-05-25,6.8,15.9,0.6,54.0,93.0
2025-05-26,7.8,20.6,0.0,42.0,94.0
2025-05-28,13.2,25.7,0.0,29.0,73.0
2025-05-29,15.8,20.5,3.6,49.0,89.0
2025-05-30,11.9,20.7,0.0,42.0,78.0
2025-05-31,9.9,23.2,0.0,46.0,84.0
2025-06-01,11.4,25.6,0.0,45.0,94.0
2025-06-02,13.6,28.0,0.0,41.0,96.0
2025-06-03,17.0,29.5,0.0,46.0,78.0
2025-06-04,19.4,31.3,0.0,39.0,83.0
